organization_id;sales_order;date_create;status;code;client_id;tvz_id;cost_price;price_b2b_gross;price_b2c_gross;quantity;
13;2051029251;2022-08-02T16:51:03.023;0;65106;21276;7342;20059.865943;0;0;1;
13;2051030871;2022-08-12T08:50:06.031;2;65106;20793;7011;20059.865943;0;0;1;
13;2051030897;2022-08-12T10:18:02.624;3;65106;20793;7011;20059.865943;0;0;1;
13;2051030944;2022-08-12T13:03:03.590;0;65106;20793;7012;20059.865943;0;0;1;
13;2051020015;2022-06-17T16:58:02.885;0;65106;495;7104;20059.865943;0;0;1;
13;2051020712;2022-06-21T12:41:03.375;1;65106;41517;7222;20059.865943;0;0;1;
5;2051020494;2022-06-20T13:23:05.085;2;65106;51501;3339;20059.865943;0;0;1;
5;2051020526;2022-06-20T16:07:03.300;1;65106;39547;3721;20059.865943;0;0;2;
5;2051032423;2022-08-18T08:42:06.900;0;38167;17224;3513;1111.205693;0;0;1;
5;2051017626;2022-06-05T12:18:02.278;0;52412;9105;3923;3628.055496;0;0;1;
5;2051018139;2022-06-08T00:04:02.672;1;38167;55625;3339;1111.205693;0;0;1;
1;2051032197;2022-08-17T14:08:04.803;0;52412;46786;358;3628.055496;0;0;1;
1;2051032738;2022-08-19T10:17:04.235;0;52412;58274;161;3628.055496;0;0;1;
1;2051034182;2022-08-24T12:21:02.535;0;52412;59252;250;3628.055496;0;0;2;
1;2051035082;2022-08-27T23:08:02.055;0;52412;27573;1624;3628.055496;0;0;1;
7;2051028251;2022-07-25T23:19:05.198;1;52412;65101;5046;3628.055496;0;0;1;
5;2051033731;2022-08-22T18:31:02.483;0;56412;37253;4139;3627.990834;0;0;1;
1;2051027604;2022-07-20T23:08:03.041;0;52412;6668;91;3628.055496;0;0;3;
5;2051029803;2022-08-05T17:50:02.066;0;52412;40607;3687;3628.055496;0;0;1;
9;2051035301;2022-08-28T21:13:04.581;4;18254;7084;5949;6416.6258;0;0;1;
8;2051032068;2022-08-17T08:34:03.085;0;52412;9316;5674;3628.055496;0;0;1;
5;2051034817;2022-08-26T18:36:04.988;0;52412;57382;3729;3628.055496;0;0;1;
5;2051034819;2022-08-26T18:47:02.815;4;52412;57382;3729;3628.055496;0;0;1;
1;2051032751;2022-08-19T10:39:02.479;0;56412;30773;449;3627.990834;0;0;1;
1;2051017966;2022-06-07T11:34:04.786;2;65106;14038;797;20059.865943;0;0;1;
1;2051019043;2022-06-12T14:47:02.517;2;66283;48610;1436;2488.894265;0;0;1;
5;2051022619;2022-06-29T08:23:17.493;1;52412;13894;4118;3628.055496;0;0;1;
13;2051035804;2022-08-30T18:28:03.613;3;60135;7800;7144;655.500248;0;0;1;
5;2051028091;2022-07-24T21:13:04.467;0;59612;20172;3586;1034.559669;0;0;1;
5;2051030240;2022-08-08T20:54:02.497;0;59612;20172;3558;1034.559669;0;0;2;
14;2051032993;2022-08-20T04:18:02.396;0;47164;21508;7911;576.084535;0;0;1;
7;2051031794;2022-08-16T10:54:08.129;2;57967;8041;4727;538.828446;0;0;2;
5;2051026888;2022-07-17T19:07:03.983;0;59608;19986;3249;1668.796896;0;0;1;
1;2051024885;2022-07-07T18:12:06.188;0;59612;3351;1194;1034.559669;0;0;1;
5;2051027969;2022-07-23T18:29:04.449;0;65705;54576;3858;2833.111645;0;0;1;
6;2051035657;2022-08-30T09:39:03.640;0;57967;33919;4474;538.828446;0;0;5;
5;2051018318;2022-06-08T17:47:03.161;0;57967;41250;3156;538.828446;0;0;1;
5;2051019725;2022-06-16T10:10:02.204;1;38152;51898;3426;3874.751803;0;0;1;
5;2051032764;2022-08-19T11:12:08.796;0;44932;59495;3590;7783.709804;0;0;1;
1;2051020441;2022-06-20T10:49:03.418;0;48366;48316;1326;1170.630071;0;0;1;
13;2051030172;2022-08-08T14:34:02.334;0;38751;20773;7174;1037.975978;0;0;2;
15;2051033347;2022-08-21T14:51:06.797;0;67128;49665;8473;1284.747724;0;0;1;
1;2051029200;2022-08-02T13:14:03.025;0;57967;11052;737;538.828446;0;0;1;
1;2051024516;2022-07-06T14:38:06.517;0;57967;2399;142;538.828446;0;0;1;
1;2051025292;2022-07-09T16:29:28.786;0;57967;66975;1078;538.828446;0;0;1;
13;2051031257;2022-08-14T11:00:01.961;0;59970;35977;7468;1688.066172;0;0;2;
13;2051029012;2022-08-01T10:13:10.769;0;59252;20734;7256;7071.716522;0;0;5;
5;2051021115;2022-06-22T17:11:27.917;0;3923;39158;3567;1201.010434;0;0;5;
6;2051029939;2022-08-06T20:51:02.413;0;60692;34886;4316;731.876847;0;0;1;
1;2051019663;2022-06-15T21:56:03.649;0;38751;27008;278;1037.975978;0;0;1;
1;2051030880;2022-08-12T09:34:03.350;0;3923;67531;1655;1201.010434;0;0;1;
5;2051029144;2022-08-02T09:57:08.189;0;39692;53926;3080;4349.758855;0;0;1;
1;2051029621;2022-08-04T16:41:04.176;0;3923;44695;460;1201.010434;0;0;8;
1;2051036149;2022-08-31T23:58:02.502;0;1283;62524;701;372.528559;0;0;1;
9;2051030096;2022-08-08T09:09:02.160;3;43793;34987;5913;1337.339484;0;0;1;
1;2051021655;2022-06-25T11:11:07.077;0;1283;68888;896;372.528559;0;0;1;
13;2051034764;2022-08-26T15:00:04.410;0;1283;977;7511;372.528559;0;0;1;
13;2051029578;2022-08-04T12:22:04.752;0;1283;977;7511;372.528559;0;0;1;
1;2051029801;2022-08-05T17:39:06.962;0;1283;49400;1038;372.528559;0;0;2;
5;2051022336;2022-06-28T10:44:16.909;0;38751;17127;3753;1037.975978;0;0;1;
5;2051019038;2022-06-12T14:25:04.314;0;57297;56220;4115;1395.125758;0;0;1;
13;2051017560;2022-06-04T23:21:02.912;0;1283;66418;7448;372.528559;0;0;2;
5;2051027235;2022-07-19T09:33:29.682;2;36944;38671;3330;544.982113;0;0;1;
1;2051020620;2022-06-20T23:14:04.347;0;3923;68621;905;1201.010434;0;0;1;
7;2051025949;2022-07-13T02:51:02.326;0;3923;36459;4873;1201.010434;0;0;1;
1;2051032792;2022-08-19T12:18:06.768;0;65005;50823;1596;2185.047527;0;0;1;
1;2051020184;2022-06-18T16:43:02.915;3;66781;49148;437;861.308617;0;0;3;
5;2051031357;2022-08-14T19:48:02.821;0;60692;21876;3788;731.876847;0;0;1;
1;2051017816;2022-06-06T14:22:02.982;0;44241;57270;1;1381.859271;0;0;1;
13;2051028827;2022-07-30T15:37:03.014;0;65705;21417;7493;2833.111645;0;0;1;
1;2051018872;2022-06-11T10:12:02.787;0;44241;16074;449;1381.859271;0;0;2;
6;2051034783;2022-08-26T16:05:02.678;0;60692;71486;4278;731.876847;0;0;1;
5;2051017919;2022-06-07T06:44:01.852;0;65705;38448;3482;2833.111645;0;0;1;
5;2051018889;2022-06-11T12:34:02.734;0;65705;18455;3341;2833.111645;0;0;1;
1;2051026576;2022-07-15T21:58:13.142;0;52412;33118;207;3628.055496;0;0;1;
7;2051028922;2022-07-31T15:30:02.544;0;52412;413;4889;3628.055496;0;0;1;
5;2051029500;2022-08-04T00:04:02.226;0;52412;40607;3687;3628.055496;0;0;1;
1;2051030111;2022-08-08T10:13:08.258;0;52412;32161;41;3628.055496;0;0;1;
5;2051030098;2022-08-08T09:09:02.852;0;56412;52753;3567;3627.990834;0;0;1;
13;2051021857;2022-06-26T12:08:02.572;0;58654;20625;7176;226.564871;0;0;2;
5;2051033950;2022-08-23T12:57:04.142;0;57297;56537;3190;1395.125758;0;0;1;
1;2051019743;2022-06-16T11:26:09.283;0;60270;58516;1577;948.860965;0;0;2;
1;2051035405;2022-08-29T09:52:08.601;0;40054;34771;972;1399.145579;0;0;5;
1;2051035522;2022-08-29T17:02:08.818;3;40054;68505;777;1399.145579;0;0;8;
8;2051032135;2022-08-17T11:17:05.802;0;49636;8176;5361;715.097058;0;0;1;
1;2051035868;2022-08-30T22:48:04.199;2;40054;21605;767;1399.145579;0;0;6;
1;2051033996;2022-08-23T15:08:06.745;0;39692;30482;732;4349.758855;0;0;1;
1;2051035216;2022-08-28T16:15:03.747;0;60692;66833;1301;731.876847;0;0;1;
2;2051034469;2022-08-25T15:13:03.834;0;38751;8843;2392;1037.975978;0;0;1;
13;2051030894;2022-08-12T10:07:02.824;4;58938;53952;7361;11808.3589;0;0;2;
13;2061089134;2022-07-18T23:01:26.771;0;63299;72642;7657;255.975304;0;0;1;
13;2051023726;2022-07-03T21:40:02.984;0;38751;8681;7378;1037.975978;0;0;1;
13;2061089134;2022-07-18T23:01:26.771;0;63296;72642;7657;256.007635;0;0;1;
1;2051029008;2022-08-01T09:52:09.849;0;57419;48760;875;684.673587;0;0;1;
1;2051025563;2022-07-11T15:04:03.486;0;44241;25718;140;1381.859271;0;0;3;
5;2051030336;2022-08-09T12:56:06.428;0;59252;397;4117;7071.716522;0;0;1;
1;2051029450;2022-08-03T17:58:03.644;0;22790;50932;1149;1806.537733;0;0;1;
1;2051018399;2022-06-09T00:16:02.703;3;63296;54311;873;256.007635;0;0;1;
13;2051030275;2022-08-09T08:25:02.697;0;59608;41820;7650;1668.796896;0;0;3;
13;2051020183;2022-06-18T16:43:02.560;0;59253;52931;7048;996.538413;0;0;1;
13;2051027527;2022-07-20T17:21:03.126;0;40461;21160;7149;744.58293;0;0;1;
1;2051026496;2022-07-14T23:34:02.002;0;57419;45332;897;684.673587;0;0;1;
2;2051017527;2022-06-04T19:37:02.311;0;39440;8894;2693;1027.58695;0;0;1;
